Symbol	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	comparison	dea
hsa-miR-4714-5p	0.8189705240515237	0.36614478549116863	1.2717962626118788	-1.0713346873436103	3.567167285412976	4.553671451457895e-4	0.0022064608032973257	-0.38974291251561155	CD vs HC	de
hsa-miR-196b-5p	-0.8188693629843624	-1.3221179180916045	-0.3156208078771202	-0.5086258154602132	-3.209359705250059	0.0015585781122418386	0.0061994189091410445	-1.5586163038725251	CD vs HC	de
hsa-miR-4749-3p	-0.8164917899871964	-1.2929886030450384	-0.33999497692935443	-0.852031432482154	-3.3796998408998022	8.784121949347466e-4	0.0037158230150811104	-1.0085644947867438	CD vs HC	de
hsa-miR-145-3p	0.814963982374209	0.31495681508464757	1.3149711496637704	-1.3181665185047817	3.214759549381528	0.0015310352555284001	0.00613565256538825	-1.4765369550300793	CD vs HC	de
hsa-miR-183-5p	-0.8127264151133238	-1.1653373884371239	-0.4601154417895238	5.032594557775856	-4.546056837879331	9.64455977140092e-6	9.346455196648528e-5	2.7272953482057467	CD vs HC	de
hsa-miR-582-3p	0.8099438812125608	0.2928750859110367	1.3270126765140848	-0.2721990647535601	3.0895335026716513	0.0023014329420134746	0.008888867812269434	-1.9168579930311704	CD vs HC	de
hsa-miR-29c-5p	0.8080342591765106	0.5263569941959771	1.089711524157044	2.411725394347628	5.658017530075972	5.481317296876674e-8	1.0434078997268811e-6	7.8553018723563905	CD vs HC	de
hsa-miR-744-3p	0.8033203568724648	0.38948246885533055	1.2171582448895992	-0.20786852042591322	3.828642649642673	1.74181625230854e-4	0.0010091174592178824	0.4348815740222971	CD vs HC	de
hsa-miR-93-5p	-0.795016101340142	-1.0959769048092427	-0.49405529787104124	9.901693399868334	-5.210174826563442	4.831272102073863e-7	7.357337229729625e-6	5.5482910102893115	CD vs HC	de
hsa-let-7d-5p	-0.7943677421670747	-1.0331324361075547	-0.5556030482265949	6.822028220065292	-6.562023798822596	4.787732453181156e-10	2.126551164621297e-8	12.294680838484581	CD vs HC	de
hsa-let-7c-5p	-0.7936744127548007	-1.2189004149580973	-0.3684484105515039	-0.054097939350752994	-3.6813649688818413	3.011856002205587e-4	0.0015901225748614276	-0.10918476367992191	CD vs HC	de
hsa-miR-151a-3p	0.7929538691032434	0.5888828131332398	0.997024925073247	9.949456964679465	7.663952778876412	8.627286314437314e-13	7.663906009325148e-11	18.453406067935596	CD vs HC	de
hsa-miR-362-3p	0.7898897047262061	0.2835348937032103	1.296244515749202	-1.3198174165619656	3.0767897640363846	0.0023972383511401962	0.009192288065882912	-1.8760929076119721	CD vs HC	de
hsa-miR-548e-3p	0.7828565106992752	0.3665440826086103	1.19916893878994	0.7887239818224521	3.708933966025316	2.7217727462943304e-4	0.0014653584583584629	-0.08494612440119642	CD vs HC	de
hsa-miR-4508	-0.7807850881341885	-1.3788692836304155	-0.1827008926379613	-0.28470981516577315	-2.5748711041894574	0.010778242712086203	0.03264092821330651	-3.311069737468898	CD vs HC	de
hsa-miR-7-1-3p	0.778583508260104	0.463778310638777	1.0933887058814311	1.8108887117129469	4.878087830658379	2.2384313278985574e-6	2.8406759470712643e-5	4.33677412526749	CD vs HC	de
hsa-miR-31-5p	-0.7767957687202096	-1.3026857880212233	-0.25090574941919597	-1.7071112071861811	-2.9133873630514016	0.003998245491627518	0.013838083422321217	-2.315069904564629	CD vs HC	de
hsa-miR-106b-3p	-0.7767206947809395	-1.0429980582488731	-0.510443331313006	8.668429999265856	-5.753298905162462	3.397131078711932e-8	7.24268345981384e-7	8.1306507482896	CD vs HC	de
hsa-miR-6793-3p	-0.767024323696764	-1.0899436027185936	-0.4441050446749344	1.6446900923484538	-4.684912366956961	5.283442961111553e-6	5.532212221055525e-5	3.501482019749748	CD vs HC	de
hsa-miR-424-5p	-0.7595211729452354	-1.319775376002181	-0.19926696988828962	-1.4243308950946325	-2.673874817956028	0.008142238303130047	0.02494145411246158	-2.9561230159232528	CD vs HC	de
hsa-miR-641	0.7580696332826169	0.4835568480376515	1.0325824185275823	2.0412537045789487	5.44669219793691	1.553987500426844e-7	2.588360430398462e-6	6.878539880872655	CD vs HC	de
hsa-miR-107	-0.7578009595955919	-1.0582849559796443	-0.45731696321153936	6.292118236265017	-4.974164155930042	1.4469886745662655e-6	1.928112408859549e-5	4.52831005989991	CD vs HC	de
hsa-miR-3913-5p	-0.7577991420381331	-1.1225426268783192	-0.3930556571979472	-0.1977790159424923	-4.097819978937831	6.141753105744132e-5	4.4237221694075975e-4	1.3856536556275811	CD vs HC	de
hsa-miR-103a-3p	-0.7479973827316382	-1.0311421254246915	-0.4648526400385849	8.464717268340534	-5.210481825899083	4.824272418931122e-7	7.357337229729625e-6	5.5653839468217265	CD vs HC	de
hsa-miR-17-5p	-0.7460903043864109	-1.1261182604579743	-0.3660623483148474	4.094251471783929	-3.8722390452584308	1.4765638153231014e-4	8.842792287272057e-4	0.17065513710711144	CD vs HC	de
hsa-miR-1287-5p	-0.7424346151697138	-1.265183926189199	-0.21968530415022847	-0.7581758463615824	-2.8012447299211694	0.005610237952804301	0.018458375486695634	-2.6838076086981104	CD vs HC	de
hsa-miR-610	-0.7372953776749928	-1.227607444607617	-0.2469833107423685	-1.6967653558531826	-2.9658913604208665	0.0034001025902576087	0.012244964058157469	-2.1752784228338404	CD vs HC	de
hsa-miR-3157-3p	0.7357323542606911	0.371218582865304	1.100246125656078	0.8894150731320425	3.9810004212884484	9.718433444977587e-5	6.316981739235431e-4	0.8763042368060132	CD vs HC	de
