Symbol	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	comparison	dea
hsa-miR-134-5p	0.6668313442906793	0.06912460362601269	1.2645380849553458	-1.3451564474420084	2.197380415599918	0.028920514757514715	0.08803277569045688	-3.619482954407832	CD vs HC	non-de
hsa-miR-589-5p	0.664427457967971	0.484319887736418	0.844535028199524	5.1475062837711425	7.265959987027137	4.820380859900346e-12	2.6704909963847913e-9	16.939172666649974	CD vs HC	de
hsa-miR-18b-5p	-0.6623031997166366	-1.0908369016745652	-0.23376949775870803	0.8698531651970874	-3.0440323825126336	0.0025862530296744744	0.013144808976510632	-1.7596157115954405	CD vs HC	de
hsa-miR-651-5p	-0.6503418773540093	-1.0863429717670121	-0.21434078294100645	-0.597468887185028	-2.9378629922194572	0.0036167743126615595	0.017085742472696862	-1.9492897586939528	CD vs HC	de
hsa-miR-339-5p	0.6494584703275601	0.38968440434740015	0.90923253630772	5.030229954643965	4.924169466623053	1.5495970383946913e-6	3.065988425966639e-5	4.84131381299143	CD vs HC	de
hsa-let-7g-5p	-0.6434708397192477	-0.9128952099335668	-0.3740464695049286	9.105581903938157	-4.704022516564515	4.244198144148623e-6	6.717959348166678e-5	3.8329215168401536	CD vs HC	de
hsa-miR-486-3p	0.6425550434058582	-0.06766497272576488	1.3527750595374815	5.190495161949762	1.781947179021594	0.07598407831379889	0.18302251906888947	-4.958322671456738	CD vs HC	non-de
hsa-miR-375-3p	0.6421119023920092	0.14581738830759433	1.138406416476424	-1.5204663326235046	2.5482887863569545	0.011430568446979825	0.04434959263556744	-2.8689175198353207	CD vs HC	de
hsa-let-7b-5p	0.6325753141828674	0.11864304105552348	1.1465075873102113	7.319935518094237	2.4242854040825894	0.016055826107296053	0.05858110471528861	-3.7043696527915486	CD vs HC	non-de
hsa-miR-3176	0.6293370604909353	0.20841730471511294	1.0502568162667576	0.8161990888118114	2.9448379086967256	0.003538966840159748	0.016901617495245692	-2.033121026411548	CD vs HC	de
hsa-miR-5690	0.6267900279368818	0.24596363250867076	1.0076164233650928	1.906515652070816	3.241697109758812	0.0013514605150143557	0.00831899028131059	-1.27940878100046	CD vs HC	de
hsa-miR-2355-5p	0.6231229068507018	0.2271659488635696	1.019079864837834	-0.24858032931677376	3.0995820367400175	0.002162025199301926	0.011752800216802502	-1.530834827144254	CD vs HC	de
hsa-miR-320a-3p	0.6162141139013659	0.30215741556919573	0.9302708122335361	7.864867755792719	3.8645682201413583	1.4222741302869686e-4	0.0011938482851196676	0.5617248744211967	CD vs HC	de
hsa-miR-671-3p	0.6114013713319864	0.34418348115293657	0.8786192615110362	2.3495223376011727	4.506488585219262	1.0171719858218165e-5	1.2807120003301964e-4	3.1602893532676424	CD vs HC	de
hsa-miR-31-5p	-0.6095929434447588	-1.1460676287089235	-0.07311825818059414	-1.5136538321475392	-2.2380412916093784	0.026108542680492182	0.08218257184654926	-3.530687148718107	CD vs HC	non-de
hsa-miR-296-5p	-0.6067829994603735	-0.8819609883491193	-0.3316050105716277	2.3589991022188745	-4.34307280465875	2.0508559143183944e-5	2.198405857970984e-4	2.5118696162788847	CD vs HC	de
hsa-miR-4772-3p	0.6018629877042685	0.07041443629750366	1.1333115391110333	-1.7238903237198862	2.230559469824456	0.026607363767341997	0.08327954535088963	-3.536707871305137	CD vs HC	non-de
hsa-miR-221-5p	-0.5933438846224666	-1.0536352717084028	-0.13305249753653048	-1.372782154438553	-2.538931709506769	0.01173267886232705	0.045138222845341566	-2.8949101983609733	CD vs HC	de
hsa-miR-330-5p	0.5920391481767215	0.3240723242489748	0.8600059721044683	2.237100617018928	4.351578214292406	1.9783307626870565e-5	2.1919904850572586e-4	2.5494618601774306	CD vs HC	de
hsa-miR-6743-3p	-0.5918518631738445	-1.0904668598268312	-0.09323686652085778	-1.8339589591262768	-2.337895420278832	0.02019022296119544	0.0686219847883575	-3.3136274557948533	CD vs HC	non-de
hsa-miR-1271-5p	-0.5830522113059877	-1.152340100231776	-0.013764322380199645	-1.2533203841383391	-2.01721830138972	0.044752593801231436	0.12334794510389162	-3.964397840950848	CD vs HC	non-de
hsa-miR-338-5p	0.5807278722965181	0.09758034575444074	1.0638753988385954	-1.8945243543300647	2.3673927197752755	0.018683968598644414	0.06591902267106162	-3.2528803745630097	CD vs HC	non-de
